,Labels,FuzTop_x_5,FuzTop_y_5,LapEig_x_5,LapEig_y_5,FuzTop_x_10,FuzTop_y_10,LapEig_x_10,LapEig_y_10,FuzTop_x_15,FuzTop_y_15,LapEig_x_15,LapEig_y_15
0,16,-0.2752196,0.2680722,0.005379534902258173,5.153672405291218e-16,0.19424997,0.22792298,-0.0015554430664689956,2.651143183025609e-16,1.0613683,0.70710677,0.0028859981317585263,-0.004388520242902569
1,16,-0.2657507,0.24853225,0.005379534902258519,4.3174087688873425e-16,0.17202464,0.21127486,-0.0015554430664690001,2.49169649022322e-16,1.0546153,0.6270029,0.002885998131758536,-0.004378851481006255
2,16,-0.2986307,0.24715921,0.005379534902258336,4.967993140376389e-16,0.2257939,0.19226204,-0.0015554430664689953,2.5567166151819404e-16,1.040994,0.4715312,0.0028859981317585276,-0.0043856620149575615
3,16,-0.28910542,0.23572354,0.005379534902258732,3.6869794525892765e-16,0.16998988,0.2029845,-0.001555443066469,2.4628604826668117e-16,1.0495989,0.56717724,0.0028859981317585323,-0.004366421628229778
4,16,-0.28378382,0.24796769,0.005379534902258416,4.731093381276518e-16,0.1869479,0.21721071,-0.0015554430664689982,2.6555853972659164e-16,1.0520571,0.59768856,0.002885998131758526,-0.0043782766030796335
5,16,-0.27925462,0.25564522,0.005379534902258323,4.991627241630038e-16,0.18191169,0.2235236,-0.0015554430664689969,2.613371886743768e-16,1.0584319,0.6718144,0.0028859981317585267,-0.0043819358200718524
6,16,-0.28985858,0.2516863,0.005379534902258289,5.018910463351896e-16,0.2039095,0.20687428,-0.0015554430664689973,2.64935834605431e-16,1.0512054,0.5895453,0.002885998131758529,-0.004389986008996124
7,16,-0.296267,0.23747276,0.005379534902258621,4.022008722016468e-16,0.19101214,0.19882788,-0.0015554430664689997,2.3466464070191266e-16,1.0456276,0.52180976,0.0028859981317585254,-0.004363309124205835
8,16,-0.3422387,0.14242789,0.005379534902261006,-4.650371927388655e-16,0.1830487,0.10012797,-0.0015554430664689986,2.2294752678138287e-16,1.0421729,0.48423067,0.002885998131758534,-0.0043771257275549
9,16,-0.296677,0.24755299,0.005379534902258354,4.846028474722421e-16,0.22913875,0.2000909,-0.0015554430664690012,2.7113726149733906e-16,1.0427006,0.4912993,0.0028859981317585276,-0.004388256138197482
10,16,-0.3033299,0.25773498,0.005379534902258097,5.256374265255894e-16,0.23372422,0.21370268,-0.0015554430664689995,2.6977443499535793e-16,1.0498964,0.5749383,0.0028859981317585315,-0.00438614654107367
11,16,-0.37424543,0.28037232,0.0053795349022574095,7.140609148459675e-16,0.4652187,0.2804035,-0.0015554430664689975,2.934298194608305e-16,1.040514,0.47563156,0.0028859981317585427,-0.004442770599154266
12,16,-0.3051384,0.28001297,0.005379534902257683,5.529835700855531e-16,0.26825342,0.23410109,-0.0015554430664689988,2.8463092456074443e-16,1.0540792,0.6264215,0.002885998131758534,-0.004405764305889698
13,16,-0.31251615,0.27316692,0.005379534902257668,5.626944178693909e-16,0.27761495,0.2385867,-0.0015554430664689977,2.873286166536949e-16,1.0502985,0.582893,0.0028859981317585267,-0.004405125397696349
14,16,-0.3063749,0.26394415,0.005379534902257907,5.385184729054324e-16,0.24866699,0.19233832,-0.0015554430664689956,2.8057147856145906e-16,1.050367,0.5824452,0.002885998131758534,-0.0044017163071132185
15,16,-0.29194605,0.27609208,0.005379534902257875,5.452301673570624e-16,0.24547395,0.21206929,-0.0015554430664690001,2.706093257648494e-16,1.0540613,0.62510175,0.002885998131758535,-0.0044008466128235895
16,16,-0.33534208,0.14612879,0.005379534902260942,-4.824349110376821e-16,0.17207308,0.11850126,-0.0015554430664690003,2.2929815744616994e-16,1.0434045,0.49789053,0.002885998131758527,-0.004375379876693717
17,16,-0.31769645,0.2714466,0.005379534902257623,5.661647212765473e-16,0.3046677,0.23904677,-0.0015554430664690001,2.9062988759919686e-16,1.0418847,0.48628244,0.0028859981317585293,-0.004410251715605716
18,16,-0.31300414,0.28386799,0.005379534902257583,5.73881979998184e-16,0.3124256,0.2585565,-0.0015554430664689956,2.8143344396851707e-16,1.0469421,0.54559755,0.0028859981317585367,-0.004414888424033084
19,16,-0.32140756,0.27174845,0.005379534902257608,5.7719338027569e-16,0.31114802,0.24742529,-0.0015554430664690014,2.9762415430753897e-16,1.0445755,0.5179401,0.0028859981317585328,-0.004416247450682626
