,Labels,FuzTop_x_8,FuzTop_y_8,LapEig_x_8,LapEig_y_8,FuzTop_x_20,FuzTop_y_20,LapEig_x_20,LapEig_y_20,FuzTop_x_50,FuzTop_y_50,LapEig_x_50,LapEig_y_50
1,0,0.01750946082560599,-0.00485957299678377,0.0072076774094346485,0.002089282176635274,0.019426256652198166,-0.0043928483900530614,0.0044986255322898875,0.0010209055155012388,-0.021369905398396154,0.004531450466608823,0.002937119025792495,0.0006225489912447872
2,4,-0.0076848574306489816,-0.016558314601256275,-0.003753818963721442,0.00803956916119277,-0.0075465276932793176,-0.017815052394695188,-0.0021897307863975664,0.005129566469185631,0.0073647427315667036,0.017964638759393265,-0.0012934791171854215,0.00312793170639676
3,1,-0.009709189450584545,0.002006742678726847,-0.0030982353173559045,-0.0017870439014307604,-0.009256599966561245,0.006294784112802222,-0.0017996124680464951,-0.0015022630023274859,0.008816972035502831,-0.006412847693567612,-0.001078717575861593,-0.0008685031411380482
5,2,0.00036930574993778733,0.0027332628625396944,0.0004496912439647887,-0.0014443813559523316,0.0009030143663273342,0.0034596267044666833,0.00014856682023094126,-0.0008265334373225591,-0.0003388346708004951,-0.003156535795646452,2.870151815202433e-05,-0.0004361470362360011
6,1,-0.007490691690806567,0.0043261595361901535,-0.0027397425490211587,-0.0023495745739443496,-0.007157748471571222,0.006521343354652083,-0.0016374580129940738,-0.001502031578177479,0.0070555834974284845,-0.005876448819243961,-0.000991129234357392,-0.0008176996078419945
7,3,-0.000708504046574416,0.017922872416046003,-6.311459211834486e-06,-0.003964225553711416,-0.0009655389423472391,0.013886970210058235,-7.303359457517768e-05,-0.002105064763430783,0.0011067468216382167,-0.013954412682917503,-8.35068819087468e-05,-0.0014215193088588758
8,1,-0.0071537212697940005,0.004805225095192079,-0.0028256210557824142,-0.002528755671933398,-0.006825126919202822,0.0067677576297671925,-0.001675974841960227,-0.0016725148604539142,0.006791314804735392,-0.00646360429037884,-0.0009748082567831438,-0.0008996619252811024
9,4,-0.010653261061578042,-0.018482795963151024,-0.004157521229012452,0.006891381558918438,-0.01044421350898916,-0.01950815866924404,-0.002156996199567095,0.004032043394797967,0.010186693232150936,0.019928389688661282,-0.0013139699145153446,0.0026398146664744003
10,3,-0.0010023952239630867,0.014539275943576327,-5.563793925207218e-05,-0.003874036750375452,-0.0010132676403405455,0.010732517913970743,-0.00012396032917978678,-0.0020781362211631325,0.0010297587633669018,-0.011014963005493424,-9.453393764548451e-05,-0.0013972612684616695
12,3,-0.001114654091474559,0.015276032388884291,-0.00021227396318939832,-0.0044935888472065234,-0.0013436933648768767,0.011711116386852223,-0.00019223982922194325,-0.0023667203546847175,0.0013789270563618853,-0.012349905583782713,-0.00015386818852008435,-0.001605091797054354
14,1,-0.008471701732175771,0.006426631712868484,-0.0029332986500037865,-0.0028587313407404985,-0.00761360281711395,0.00828528376092195,-0.0017441314793686102,-0.001902879672713984,0.007276068875869374,-0.007720907860604948,-0.0010206357255256814,-0.0010544247377550036
16,2,0.0007698122619367145,0.0037651008115081857,0.0003635429865481476,-0.0019169759436166475,0.0006029794950535462,0.00425496784554343,0.00014705190006100683,-0.001061598222164118,-0.0002044909529870273,-0.004098238302015188,9.860209028149548e-06,-0.0006241775053887095
20,4,-0.008581754902905124,-0.018820603647631065,-0.0037718924340436107,0.008176658039132239,-0.009076856285321438,-0.021921574619619806,-0.002219801477062262,0.0053331480229783105,0.008532679627135309,0.021425008176746373,-0.0013000520238792218,0.0032342974462882864
21,0,0.01776340478591242,-0.005031924299972147,0.007363866384388113,0.0021726410149201843,0.017365609464105404,-0.004113528167643762,0.004646161001636744,0.0011121442593010709,-0.018215533979213685,0.003990563850865691,0.002967452726637288,0.0006447261309564056
23,1,-0.010849266157416769,0.0015873015229984034,-0.003110465787904659,-0.001612786403159718,-0.00968400072603604,0.0062026818601741505,-0.0017865886443666204,-0.0014557012691907535,0.009252806099812407,-0.0061683982443818145,-0.001057238558963033,-0.0007818247950647318
24,1,-0.004550163921589363,0.005075432581457987,-0.001746195414847684,-0.0012881871913830109,-0.004320435624486629,0.0048641095781394444,-0.00110528228479326,-0.0010035265207288264,0.004207020646456759,-0.0045589417529401524,-0.000713282413954615,-0.0007662563426137197
25,2,-0.0015855214794605551,0.0075333651759601486,-0.00047271020478676105,-0.00287598139063201,-0.0018463616945774254,0.00762856799357377,-0.00039411470706347357,-0.0017142278560225376,0.0021047469702099955,-0.007594519366464854,-0.00028146295542546743,-0.001139156015764169
26,4,-0.013381853339592742,-0.021195652940567855,-0.0036663088382653274,0.0057860342285383755,-0.012404591556300288,-0.02090286629729244,-0.002116871354422437,0.0035827894682926866,0.011521078669588234,0.019765222763950107,-0.0012458343842125137,0.002165904784237872
27,3,-0.0005381552872545795,0.013033242533043207,-5.5426941144903276e-05,-0.00435689568020726,-0.0007192792493068917,0.010256735358720532,-8.839914080478137e-05,-0.0023217340949692375,0.0008078249993114907,-0.01068610800385961,-9.328584733837507e-05,-0.0015856170316928795
28,2,-0.0004422887254457631,0.004833696485378714,-0.0003587090103548776,-0.00263637598135229,-0.0011217885481814769,0.00506530083879527,-0.000342480903789349,-0.001407226555617112,0.0013876996122547105,-0.004946298027751932,-0.00026052327895149274,-0.0008945196382825245
30,3,-0.0023068309789061,0.012277027340162493,-0.00046396449018945595,-0.0032003018259075347,-0.002137748342238223,0.008199882787881361,-0.0004323531555176397,-0.0016538363641943289,0.002495583170863259,-0.007377440692560072,-0.00034284800320674805,-0.0010461377567783918
34,0,0.016731196246867745,-0.0022057405856293396,0.005224535766989314,0.0008667792250550432,0.014941109923913343,-0.001868080431046507,0.003168302695375571,0.0004303319848971406,-0.014149568269228172,0.001267072481091093,0.001959902553266855,0.0001737889701305474
37,0,0.01608113524684217,-0.0033372357556353343,0.005813252757634779,0.0013158548217062154,0.016495046472558273,-0.0025723134485288,0.003470600945461283,0.0005356537851020443,-0.016973818708583728,0.0021541313169855846,0.002169005267501407,0.00026553675365354433
40,1,-0.008340601349389739,0.005153906363097074,-0.0029121599504710826,-0.0024989814452531663,-0.00846768780488587,0.008193819250312108,-0.0017397537092356747,-0.0018080866802728753,0.008258946807037032,-0.007952326646445409,-0.0010456410443277836,-0.0010135528981466285
44,3,-0.0028978256619200202,0.00989026753364757,-0.0008401411913713694,-0.003201159890624561,-0.003091599008319807,0.007750000741616602,-0.000616857509887601,-0.0016144383398951014,0.00338288752254707,-0.007435916606477711,-0.00045051430600641243,-0.0010084024072693001
